site,date,year,month,week,dayofmonth,dayofyr,coloniesperL,filbundperL,totalperL,totalperL_diff,log_gloeo,light_sum,watertemp_ma_3,watertemp_ma_5,watertemp_ma_7,watertemp_ma_10,watertemp_ma_14
Midge,2014-07-09,2014,7,27,9,190,3.027502526,0.700286799,3.727789325,2.405025371,0.571870565,587744.3,22.23509838,22.22102083,22.84656746,23.20763715,22.55049851
Midge,2014-07-17,2014,7,28,17,198,0.742728424,0.190987309,0.933715732,-2.794073593,-0.028114094,634094.1,24.69949653,24.39984028,23.99386905,23.63588194,23.32822297
Midge,2014-07-23,2014,7,29,23,204,1.025672585,0.693213195,1.71888578,0.785170048,0.236155645,630692.1,24.39607639,24.15030208,24.19945437,24.3154375,24.01057664
Midge,2014-07-30,2014,7,30,30,211,1.202512686,0.099030457,1.301543142,-0.417342638,0.115658146,409514.7,23.48075231,23.76625694,24.15959821,24.23054167,24.17952629
Midge,2014-08-06,2014,8,31,6,218,1.626928928,0.077809644,1.704738572,0.40319543,0.232573947,370150.7,23.83911458,23.69176389,23.51061756,23.50165799,23.83510789
Midge,2014-08-12,2014,8,32,12,224,0.551741115,0.028294416,0.580035531,-1.124703041,-0.233858277,472365.5,23.5440162,23.31348264,23.46719246,23.52708507,23.42561384
Midge,2014-08-20,2014,8,33,20,232,2.440393391,0.007073604,2.447466995,1.867431465,0.389355182,388783.4,21.3430787,21.47488542,21.69367808,22.29925694,22.55002232
Midge,2014-08-27,2014,8,34,27,239,0.282944161,0.021220812,0.304164973,-2.143302022,-0.511780809,326427.9,21.66730324,21.30258681,21.24437004,21.27398264,21.46902406
Midge,2014-09-04,2014,9,35,4,247,1.138850249,0.007073604,1.145923853,0.84175888,0.060517987,268431.3,22.87947917,22.49565278,22.29009921,22.28183854,21.89070188
Midge,2014-09-10,2014,9,36,10,253,0.40319543,0,0.40319543,-0.742728424,-0.390623935,228163.6,22.45280671,22.99926042,23.03789435,22.88964236,22.65545263
Midge,2014-09-17,2014,9,37,17,260,1.945241109,0.021220812,1.966461921,1.563266491,0.294479877,208325.4,18.98747685,19.33758333,19.89102927,20.6595625,21.46446181
Midge,2014-09-25,2014,9,38,25,268,0.099030457,0,0.099030457,-1.867431465,-0.988723737,NA,17.50950617,17.59903704,17.81001984,18.1495463,18.71645503
Midge,2014-10-03,2014,10,39,3,276,0.014147208,0,0.014147208,-0.084883248,-1.750869961,NA,NA,NA,NA,NA,NA
Midge,2014-10-10,2014,10,40,10,283,0.127324873,0,0.127324873,0.113177665,-0.882977839,NA,NA,NA,NA,NA,NA
Midge,2015-05-14,2015,5,19,14,134,0,0,0,-0.127324873,-2.443697499,NA,NA,NA,NA,NA,NA
Midge,2015-05-21,2015,5,20,21,141,0.007073604,0,0.007073604,0.007073604,-1.971688914,NA,NA,NA,NA,NA,NA
Midge,2015-05-28,2015,5,21,28,148,0.113177665,0.014147208,0.127324873,0.120251269,-0.882977839,NA,NA,NA,NA,NA,NA
Midge,2015-06-05,2015,6,22,5,156,0.007073604,0,0.007073604,-0.120251269,-1.971688914,NA,NA,NA,NA,NA,NA
Midge,2015-06-11,2015,6,23,11,162,0.014147208,0,0.014147208,0.007073604,-1.750869961,634159.1,17.76744213,17.40320486,NA,NA,NA
Midge,2015-06-19,2015,6,24,19,170,0.077809644,0.014147208,0.091956852,0.077809644,-1.019738166,533720.4,19.25077546,18.97874653,19.00803571,18.84005035,18.41366071
Midge,2015-07-02,2015,7,26,2,183,0.07073604,0.007073604,0.077809644,-0.014147208,-1.089324144,403089,20.22675926,20.29741667,20.5834003,20.68864757,20.5381622
Midge,2015-07-09,2015,7,27,9,190,0.028294416,0.014147208,0.042441624,-0.03536802,-1.336849366,407630.9,22.38826389,21.80902431,21.50379712,21.12068576,21.04359871
Midge,2015-07-16,2015,7,28,16,197,0.141472081,0.049515228,0.190987309,0.148545685,-0.710885488,702552.6,23.80736111,23.56597569,23.29839782,23.02535764,22.40109747
Midge,2015-07-30,2015,7,30,30,211,1.237880706,0.162692893,1.400573599,1.20958629,0.147420803,623329.5,24.42615741,23.88456597,23.77019593,23.98920313,23.80497768
Midge,2015-08-06,2015,8,31,6,218,0.106104061,0.077809644,0.183913705,-1.216659894,-0.726966985,632135.3,24.80467593,24.88368056,25.04464286,24.85909722,24.40741939
Midge,2015-08-13,2015,8,32,13,225,0.261723349,0.120251269,0.381974618,0.198060913,-0.413891563,331401.1,23.63221065,23.5836875,23.64554067,23.99328125,24.34509177
Midge,2015-08-20,2015,8,33,20,232,0.721507611,0.077809644,0.799317256,0.417342638,-0.095329208,313026.6,25.51719329,25.02370486,24.65483135,24.34804514,24.15018601
Midge,2015-08-25,2015,8,34,25,237,0.565888323,0.099030457,0.664918779,-0.134398477,-0.174886389,201167.3,24.66023727,24.87819097,25.14253968,24.95094792,24.56681796
Midge,2015-09-03,2015,9,35,3,246,0.884200504,0.063662436,0.94786294,0.282944161,-0.021608123,314135.1,23.87096065,23.84517708,23.84054315,24.09661458,24.31435392
Midge,2015-09-10,2015,9,36,10,253,13.59546695,0.50929949,14.10476644,13.1569035,1.149476731,157950.5,24.67922454,24.39855208,24.18981895,24.09416146,24.01518105
Midge,2015-09-17,2015,9,37,17,260,2.100860398,0,2.100860398,-12.00390604,0.323140758,161352.1,21.99214699,22.31272569,22.76324405,23.33803819,23.4765315
Midge,2015-09-24,2015,9,38,24,267,0.77102284,0,0.77102284,-1.329837558,-0.110909702,NA,21.03462963,21.61784259,21.93608466,21.94285185,22.40126653
Midge,2015-10-02,2015,10,39,2,275,0.381974618,0,0.381974618,-0.389048222,-0.413891563,NA,NA,NA,NA,NA,NA
Midge,2015-10-12,2015,10,41,12,285,0.063662436,0,0.063662436,-0.318312182,-1.172227408,NA,NA,NA,NA,NA,NA
Midge,2016-05-26,2016,5,21,26,147,0.063662436,0.03536802,0.099030457,0.03536802,-0.988723737,NA,NA,NA,NA,NA,NA
Midge,2016-06-03,2016,6,22,3,155,0.049515228,0.014147208,0.063662436,-0.03536802,-1.172227408,NA,20.35680556,NA,NA,NA,NA
Midge,2016-06-16,2016,6,24,16,168,0.091956852,0.014147208,0.106104061,0.042441624,-0.959777296,379203.6,15.80626736,15.96608333,16.32054812,17.41676215,18.17979291
Midge,2016-06-23,2016,6,25,23,175,1.117629437,0.488078678,1.605708116,1.499604055,0.206639202,413798.7,21.53270833,20.65772917,19.52042659,18.40617882,17.92048735
Midge,2016-06-30,2016,6,26,30,182,2.603086284,0.919568524,3.522654809,1.916946693,0.547313691,531847.5,23.11306713,22.77609375,22.22713542,22.01880729,20.873781
Midge,2016-07-07,2016,7,27,7,189,0.212208121,0.091956852,0.304164973,-3.218489835,-0.511780809,392066.6,23.23209491,22.84220139,22.91382192,22.97359549,22.57047867
Midge,2016-07-14,2016,7,28,14,196,5.347644649,3.515581204,8.863225854,8.55906088,0.947768179,401463,22.98189815,22.58323611,22.84982143,22.96450347,22.88182168
Midge,2016-07-21,2016,7,29,21,203,2.914324862,0.728581215,3.642906077,-5.220319777,0.561876942,421926.1,24.10528356,24.24998264,24.24666667,23.86723611,23.54824405
Midge,2016-07-27,2016,7,30,27,209,5.510337542,1.881578673,7.391916215,3.749010138,0.868968494,524818.1,24.310625,24.35034028,24.20827381,24.27354167,24.25288938
Midge,2016-08-04,2016,8,31,4,217,1.386426391,0.233428933,1.619855324,-5.772060891,0.210440342,402141.5,24.00400463,24.05351042,24.28486111,24.38486111,24.33956597
Midge,2016-08-15,2016,8,33,15,228,3.451918768,0.654308373,4.106227141,2.486371818,0.613823556,498899,25.53908565,25.40305903,25.20720982,25.22728472,24.95395337
Midge,2016-08-22,2016,8,34,22,235,0.537593907,0.042441624,0.580035531,-3.526191611,-0.233858277,285244.9,24.08334491,24.08662153,24.27029018,24.65092882,24.73875
Midge,2016-08-31,2016,8,35,31,244,1.987682733,0.198060913,2.185743646,1.605708116,0.340313935,304824.4,23.88971065,23.85314931,23.84803819,23.76124826,23.86616071
Midge,2016-09-07,2016,9,36,7,251,0.466857866,0.084883248,0.551741115,-1.634002532,-0.255440172,275191.3,22.2920081,22.50781944,22.77715278,23.11092014,23.31259549
Midge,2016-09-14,2016,9,37,14,258,1.358131974,0.084883248,1.443015223,0.891274108,0.160353031,328914.1,22.27780671,22.60202083,22.65947421,22.54923438,22.71831349
Midge,2016-09-21,2016,9,38,21,265,0.954936545,0.091956852,1.046893397,-0.396121826,0.021393327,192125.6,21.59966435,21.5966875,21.64911706,21.83772396,22.15429563
Midge,2016-09-28,2016,9,39,28,272,0.084883248,0.021220812,0.106104061,-0.940789336,-0.959777296,NA,19.5561859,20.14520513,20.65964286,20.9291891,21.15697573
Midge,2016-10-05,2016,10,40,5,279,0.134398477,0,0.134398477,0.028294416,-0.860125707,NA,NA,NA,NA,NA,NA
