site,date,year,month,week,dayofmonth,dayofyr,coloniesperL,filbundperL,totalperL,totalperL_diff,wtr_temp_max,wtr_temp_mean,wtr_temp_median,water_temp_min
Midge,2015-08-13T00:00:00Z,2015,8,32,13,225,0.261723349,0.120251269,0.381974618,0.198060913,24.69,23.66702381,23.66,22.97
Midge,2015-08-20T00:00:00Z,2015,8,33,20,232,0.721507611,7.78E-02,0.799317256,0.417342638,26.61,25.11684524,25.21,23.83
Midge,2015-08-25T00:00:00Z,2015,8,34,25,237,0.565888323,9.90E-02,0.664918779,-0.134398477,25.56,24.32386905,24.34,23.31
Midge,2015-09-03T00:00:00Z,2015,9,35,3,246,0.884200504,6.37E-02,0.94786294,0.282944161,24.69,23.79035714,23.66,22.97
Midge,2015-09-10T00:00:00Z,2015,9,36,10,253,13.59546695,0.50929949,14.10476644,13.1569035,25.56,24.24047619,24.34,23.14
Midge,2015-09-17T00:00:00Z,2015,9,37,17,260,2.100860398,0,2.100860398,-12.00390604,23.48,22.39869048,22.47,21.47
Midge,2015-09-24T00:00:00Z,2015,9,38,24,267,0.77102284,0,0.77102284,-1.329837558,NA,NA,NA,NA
Midge,2015-10-02T00:00:00Z,2015,10,39,2,275,0.381974618,0,0.381974618,-0.389048222,NA,NA,NA,NA
Midge,2015-10-12T00:00:00Z,2015,10,41,12,285,0.063662436,0,0.063662436,-0.318312182,NA,NA,NA,NA
Midge,2016-05-26T00:00:00Z,2016,5,21,26,147,0.063662436,3.54E-02,0.099030457,3.54E-02,NA,NA,NA,NA
Midge,2016-06-03T00:00:00Z,2016,6,22,3,155,0.049515228,1.41E-02,0.063662436,-3.54E-02,NA,NA,NA,NA
Midge,2016-06-16T00:00:00Z,2016,6,24,16,168,0.091956852,1.41E-02,0.106104061,4.24E-02,19.51,16.27357143,16.13,15.03
Midge,2016-06-23T00:00:00Z,2016,6,25,23,175,1.117629437,0.488078678,1.605708116,1.499604055,22.63,20.95505952,20.97,18.53
Midge,2016-06-30T00:00:00Z,2016,6,26,30,182,2.603086284,0.919568524,3.522654809,1.916946693,24,22.9360119,22.97,21.13
Midge,2016-07-07T00:00:00Z,2016,7,27,7,189,0.212208121,9.20E-02,0.304164973,-3.218489835,24.87,23.02452381,22.81,21.8
Midge,2016-07-14T00:00:00Z,2016,7,28,14,196,5.347644649,3.515581204,8.863225854,8.55906088,24.69,23.2010119,23.225,21.47
Midge,2016-07-21T00:00:00Z,2016,7,29,21,203,2.914324862,0.728581215,3.642906077,-5.220319776,25.21,24.26279762,24.34,23.14
Midge,2016-07-27T00:00:00Z,2016,7,30,27,209,5.510337542,1.881578673,7.391916215,3.749010138,25.56,24.56261905,24.52,23.66
Midge,2016-08-04T00:00:00Z,2016,8,31,4,217,1.386426391,0.233428933,1.619855324,-5.772060891,26.08,24.50172619,24.34,23.14
Midge,2016-08-15T00:00:00Z,2016,8,33,15,228,3.451918768,0.654308373,4.106227141,2.486371818,25.73,24.54511905,24.43,23.48
Midge,2016-08-22T00:00:00Z,2016,8,34,22,235,0.537593907,4.24E-02,0.580035531,-3.52619161,24.34,23.75130952,23.83,22.81
Midge,2016-08-31T00:00:00Z,2016,8,35,31,244,1.987682733,0.198060913,2.185743646,1.605708116,24.52,23.53791667,23.48,22.47
Midge,2016-09-07T00:00:00Z,2016,9,36,7,251,0.466857866,8.49E-02,0.551741115,-1.634002532,24,22.66202381,22.47,21.8
Midge,2016-09-14T00:00:00Z,2016,9,37,14,258,1.358131974,8.49E-02,1.443015223,0.891274108,22.63,22.01791667,22.05,21.13
Midge,2016-09-21T00:00:00Z,2016,9,38,21,265,0.954936545,9.20E-02,1.046893397,-0.396121826,22.47,21.5710119,21.47,20.48
Midge,2016-09-28T00:00:00Z,2016,9,39,28,272,0.084883248,2.12E-02,0.106104061,-0.940789336,NA,NA,NA,NA
Midge,2016-10-05T00:00:00Z,2016,10,40,5,279,0.134398477,0,0.134398477,2.83E-02,NA,NA,NA,NA
