site,date,year,month,week,dayofmonth,dayofyr,coloniesperL,filbundperL,totalperL,totalperL_diff,log_gloeo,date_monthly_samples,CHL,SD,Depth,LAYER,PH,TP,COND,TURBIDITY
Midge,2016-07-14,2016,7,28,14,196,5.347644649,3.515581204,8.863225854,8.55906088,0.947768179,2016-07-12,1.08,8,NA,I,7.31,0.006,101.2,2.19
Midge,2016-07-21,2016,7,29,21,203,2.914324862,0.728581215,3.642906077,-5.220319777,0.561876942,,,,,,,,,
Midge,2016-07-27,2016,7,30,27,209,5.510337542,1.881578673,7.391916215,3.749010138,0.868968494,,,,,,,,,
Midge,2016-08-04,2016,8,31,4,217,1.386426391,0.233428933,1.619855324,-5.772060891,0.210440342,,,,,,,,,
Midge,2016-08-15,2016,8,33,15,228,3.451918768,0.654308373,4.106227141,2.486371818,0.613823556,2016-08-16,1.06,7.75,8.3,I,7.24,0.001,101.8,1.51
Midge,2016-08-22,2016,8,34,22,235,0.537593907,0.042441624,0.580035531,-3.526191611,-0.233858277,,,,,,,,,
Midge,2016-08-31,2016,8,35,31,244,1.987682733,0.198060913,2.185743646,1.605708116,0.340313935,,,,,,,,,
Midge,2016-09-07,2016,9,36,7,251,0.466857866,0.084883248,0.551741115,-1.634002532,-0.255440172,,,,,,,,,
Midge,2016-09-14,2016,9,37,14,258,1.358131974,0.084883248,1.443015223,0.891274108,0.160353031,2016-09-13,1.41,7.5,7.3,I,7.25,0.003,103.4,0.97
Midge,2016-09-21,2016,9,38,21,265,0.954936545,0.091956852,1.046893397,-0.396121826,0.021393327,,,,,,,,,
Midge,2016-09-28,2016,9,39,28,272,0.084883248,0.021220812,0.106104061,-0.940789336,-0.959777296,,,,,,,,,
Midge,2016-10-05,2016,10,40,5,279,0.134398477,0,0.134398477,0.028294416,-0.860125707,,,,,,,,,
